Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 63.66      0.07     0.07        1    70.02    70.02  TGAImage::unload_rle_data(std::basic_ofstream<char, std::char_traits<char> >&)
  9.09      0.08     0.01  2000112     0.00     0.00  TGAColor::TGAColor(TGAColor const&)
  9.09      0.09     0.01  2000112     0.00     0.00  TGAImage::set(int, int, TGAColor)
  9.09      0.10     0.01   204244     0.00     0.00  Vec2<int>::operator-(Vec2<int> const&) const
  9.09      0.11     0.01    14952     0.00     0.00  int* std::uninitialized_copy<int*, int*>(int*, int*, int*)
  0.00      0.11     0.00   620208     0.00     0.00  Vec2<int>::Vec2(int, int)
  0.00      0.11     0.00   204244     0.00     0.00  Vec2<int>::operator*(float) const
  0.00      0.11     0.00   204244     0.00     0.00  Vec2<int>::operator+(Vec2<int> const&) const
  0.00      0.11     0.00    83839     0.00     0.00  std::_Iter_base<int*, false>::_S_base(int*)
  0.00      0.11     0.00    53935     0.00     0.00  std::_Niter_base<int*>::iterator_type std::__niter_base<int*>(int*)
  0.00      0.11     0.00    51522     0.00     0.00  void std::swap<Vec2<int> >(Vec2<int>&, Vec2<int>&)
  0.00      0.11     0.00    43078     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.11     0.00    38983     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.11     0.00    31507     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      0.11     0.00    29904     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.11     0.00    29904     0.00     0.00  std::_Miter_base<int*>::iterator_type std::__miter_base<int*>(int*)
  0.00      0.11     0.00    24031     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.11     0.00    24031     0.00     0.00  int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.00      0.11     0.00    19047     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.11     0.00    19047     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      0.11     0.00    19047     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.11     0.00    19047     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      0.11     0.00    18158     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00      0.11     0.00    18158     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.11     0.00    18158     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, false>::_S_base(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.11     0.00    18158     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, true>::_S_base(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.11     0.00    18158     0.00     0.00  std::_Miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.11     0.00    18158     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.11     0.00    17368     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.11     0.00    16555     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      0.11     0.00    16555     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.11     0.00    16555     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      0.11     0.00    16555     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      0.11     0.00    16555     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      0.11     0.00    14952     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      0.11     0.00    14952     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.11     0.00    14952     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      0.11     0.00    14952     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<int*, int*>(int*, int*, int*)
  0.00      0.11     0.00    14952     0.00     0.00  int* std::__copy_move_a<false, int*, int*>(int*, int*, int*)
  0.00      0.11     0.00    14952     0.00     0.00  int* std::__copy_move_a2<false, int*, int*>(int*, int*, int*)
  0.00      0.11     0.00    14952     0.00     0.00  int* std::__uninitialized_copy_a<int*, int*, int>(int*, int*, int*, std::allocator<int>&)
  0.00      0.11     0.00    14952     0.00     0.00  int* std::__uninitialized_move_if_noexcept_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.00      0.11     0.00    14952     0.00     0.00  int* std::copy<int*, int*>(int*, int*, int*)
  0.00      0.11     0.00    11571     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.11     0.00    11571     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.11     0.00    11571     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.11     0.00    11571     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.11     0.00    11571     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      0.11     0.00    10682     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00      0.11     0.00     9969     0.00     0.00  Vec3<float>::Vec3(float, float, float)
  0.00      0.11     0.00     9079     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      0.11     0.00     9079     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int> >::_S_select_on_copy(std::allocator<int> const&)
  0.00      0.11     0.00     9079     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
  0.00      0.11     0.00     9079     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  0.00      0.11     0.00     9079     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      0.11     0.00     9079     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
  0.00      0.11     0.00     9079     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long)
  0.00      0.11     0.00     9079     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&)
  0.00      0.11     0.00     9079     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.11     0.00     9079     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&)
  0.00      0.11     0.00     9079     0.00     0.00  int* std::__copy_move_a<false, int const*, int*>(int const*, int const*, int*)
  0.00      0.11     0.00     9079     0.00     0.00  int* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.11     0.00     9079     0.00     0.00  int* std::uninitialized_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.11     0.00     9079     0.00     0.00  int* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, int>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, std::allocator<int>&)
  0.00      0.11     0.00     9079     0.00     0.00  int* std::copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.11     0.00     8734     0.00     0.00  Vec3<float>::Vec3()
  0.00      0.11     0.00     7501     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.11     0.00     7476     0.00     0.00  Vec2<int>::Vec2()
  0.00      0.11     0.00     7476     0.00     0.00  Model::vert(int)
  0.00      0.11     0.00     7476     0.00     0.00  __gnu_cxx::new_allocator<int>::construct(int*, int const&)
  0.00      0.11     0.00     7476     0.00     0.00  void __gnu_cxx::__alloc_traits<std::allocator<int> >::construct<int>(std::allocator<int>&, int*, int const&)
  0.00      0.11     0.00     7476     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.11     0.00     7476     0.00     0.00  std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const
  0.00      0.11     0.00     7476     0.00     0.00  std::vector<Vec3<float>, std::allocator<Vec3<float> > >::operator[](unsigned long)
  0.00      0.11     0.00     7476     0.00     0.00  std::vector<int, std::allocator<int> >::_M_insert_aux(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
  0.00      0.11     0.00     7476     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      0.11     0.00     7476     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      0.11     0.00     7476     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      0.11     0.00     7476     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00      0.11     0.00     6587     0.00     0.00  void std::_Destroy<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*)
  0.00      0.11     0.00     4984     0.00     0.00  Vec3<float>::operator-(Vec3<float> const&) const
  0.00      0.11     0.00     4095     0.00     0.00  void std::_Construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&)
  0.00      0.11     0.00     2546     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::size() const
  0.00      0.11     0.00     2493     0.00     0.00  Model::nfaces()
  0.00      0.11     0.00     2492     0.00     0.00  Vec3<float>::normalize(float)
  0.00      0.11     0.00     2492     0.00     0.00  Model::face(int)
  0.00      0.11     0.00     2492     0.00     0.00  __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::construct(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&)
  0.00      0.11     0.00     2492     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      0.11     0.00     2492     0.00     0.00  void __gnu_cxx::__alloc_traits<std::allocator<std::vector<int, std::allocator<int> > > >::construct<std::vector<int, std::allocator<int> > >(std::allocator<std::vector<int, std::allocator<int> > >&, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&)
  0.00      0.11     0.00     2492     0.00     0.00  Vec3<float>::norm() const
  0.00      0.11     0.00     2492     0.00     0.00  Vec3<float>::operator^(Vec3<float> const&) const
  0.00      0.11     0.00     2492     0.00     0.00  Vec3<float>::operator*(Vec3<float> const&) const
  0.00      0.11     0.00     2492     0.00     0.00  Vec3<float>::operator*(float) const
  0.00      0.11     0.00     2492     0.00     0.00  std::allocator<int>::allocator()
  0.00      0.11     0.00     2492     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00      0.11     0.00     2492     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00      0.11     0.00     2492     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::push_back(std::vector<int, std::allocator<int> > const&)
  0.00      0.11     0.00     2492     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  0.00      0.11     0.00     2492     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00      0.11     0.00     2492     0.00     0.00  std::sqrt(float)
  0.00      0.11     0.00     2047     0.00     0.00  void std::_Construct<Vec3<float>, Vec3<float> >(Vec3<float>*, Vec3<float> const&)
  0.00      0.11     0.00     2047     0.00     0.00  Vec3<float>* std::__addressof<Vec3<float> >(Vec3<float>&)
  0.00      0.11     0.00     1844     0.00     0.00  TGAColor::TGAColor(unsigned char, unsigned char, unsigned char, unsigned char)
  0.00      0.11     0.00     1841     0.00     0.02  triangle(Vec2<int>, Vec2<int>, Vec2<int>, TGAImage&, TGAColor)
  0.00      0.11     0.00     1258     0.00     0.00  __gnu_cxx::new_allocator<Vec3<float> >::construct(Vec3<float>*, Vec3<float> const&)
  0.00      0.11     0.00     1258     0.00     0.00  void __gnu_cxx::__alloc_traits<std::allocator<Vec3<float> > >::construct<Vec3<float> >(std::allocator<Vec3<float> >&, Vec3<float>*, Vec3<float> const&)
  0.00      0.11     0.00     1258     0.00     0.00  std::vector<Vec3<float>, std::allocator<Vec3<float> > >::push_back(Vec3<float> const&)
  0.00      0.11     0.00       52     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::base() const
